asymmetry,fp_cost_scale,model,savings,n_reviewed,n_held,hours_used,binding_constraint,hold_threshold_median,hold_threshold_median_at_risk,knapsack_ceiling,hindsight_ceiling,knapsack_clears_hold_everything,margin_abs,margin_rel
2.476692420116381,0.052094549317324136,random,0.14353216850787442,2,17,0.134,none,1.0,0.011228720654939111,-2.1502904960366775,0.1985055282859396,False,-0.2877365889314876,-2.2048358435249775
2.476692420116381,0.052094549317324136,rules,0.1305024996652219,5,14,0.335,none,1.0,0.011228720654939111,-2.1502904960366775,0.1985055282859396,False,-0.2877365889314876,-2.2048358435249775
2.476692420116381,0.052094549317324136,gbdt,0.18221925938934969,2,17,0.134,none,1.0,0.011228720654939111,-2.1502904960366775,0.1985055282859396,False,-0.2877365889314876,-2.2048358435249775
2.476692420116381,0.052094549317324136,hmm,-0.15723408926626573,4,14,0.268,none,1.0,0.011228720654939111,-2.1502904960366775,0.1985055282859396,False,-0.2877365889314876,-2.2048358435249775
4.844028278081317,0.10188890149514888,random,0.2669774681181109,5,14,0.335,none,1.0,0.021728237345528784,-1.6478799970425502,0.32632841889920167,False,-0.19546196511386268,-0.8773594341885927
4.844028278081317,0.10188890149514888,rules,0.22278436578804392,5,14,0.335,capacity,1.0,0.021728237345528784,-1.6478799970425502,0.32632841889920167,False,-0.19546196511386268,-0.8773594341885927
4.844028278081317,0.10188890149514888,gbdt,0.24913025641569014,5,14,0.335,none,1.0,0.021728237345528784,-1.6478799970425502,0.32632841889920167,False,-0.19546196511386268,-0.8773594341885927
4.844028278081317,0.10188890149514888,hmm,0.027322400674181246,4,14,0.268,none,1.0,0.021728237345528784,-1.6478799970425502,0.32632841889920167,False,-0.19546196511386268,-0.8773594341885927
9.474171991752142,0.19927897225201288,random,0.4153090426004683,5,14,0.335,capacity,1.0,0.041631717345532074,-1.0183248648369925,0.48649934876639267,False,-0.1493670072865197,-0.36647848503070335
9.474171991752142,0.19927897225201288,rules,0.4075737413998691,5,14,0.335,capacity,1.0,0.041631717345532074,-1.0183248648369925,0.48649934876639267,False,-0.1493670072865197,-0.36647848503070335
9.474171991752142,0.19927897225201288,gbdt,0.40885141634598193,5,14,0.335,capacity,1.0,0.041631717345532074,-1.0183248648369925,0.48649934876639267,False,-0.1493670072865197,-0.36647848503070335
9.474171991752142,0.19927897225201288,hmm,0.25820673411334943,5,13,0.335,none,1.0,0.041631717345532074,-1.0183248648369925,0.48649934876639267,False,-0.1493670072865197,-0.36647848503070335
18.53001877289907,0.38975892564421544,random,0.4485016307528333,5,13,0.335,capacity,1.0,0.07830667438432404,-0.37767892359053995,0.6494919936926542,False,-0.09634896567592122,-0.16330007341419933
18.53001877289907,0.38975892564421544,rules,0.5900117719576202,5,14,0.335,capacity,1.0,0.07830667438432404,-0.37767892359053995,0.6494919936926542,False,-0.09634896567592122,-0.16330007341419933
18.53001877289907,0.38975892564421544,gbdt,0.5564916789386519,5,13,0.335,capacity,1.0,0.07830667438432404,-0.37767892359053995,0.6494919936926542,False,-0.09634896567592122,-0.16330007341419933
18.53001877289907,0.38975892564421544,hmm,0.493662806281699,5,13,0.335,none,1.0,0.07830667438432404,-0.37767892359053995,0.6494919936926542,False,-0.09634896567592122,-0.16330007341419933
36.24185797164223,0.7623083278812857,random,0.6338115196729436,5,12,0.335,capacity,1.0,0.1424835217933289,0.15000808191640208,0.7837457135452366,True,0.00883264030085218,0.0130127043790155
36.24185797164223,0.7623083278812857,rules,0.6787705340556142,5,10,0.335,capacity,1.0,0.1424835217933289,0.15000808191640208,0.7837457135452366,True,0.00883264030085218,0.0130127043790155
36.24185797164223,0.7623083278812857,gbdt,0.726366948024086,5,13,0.335,capacity,1.0,0.1424835217933289,0.15000808191640208,0.7837457135452366,True,0.00883264030085218,0.0130127043790155
36.24185797164223,0.7623083278812857,hmm,0.6876031743564663,5,13,0.335,none,1.0,0.1424835217933289,0.15000808191640208,0.7837457135452366,True,0.00883264030085218,0.0130127043790155
47.54225638905283,1.0,random,0.6928641158070502,5,11,0.335,capacity,1.0,0.17895518624939089,0.3169331892841253,0.826214670269648,True,0.04840740777389152,0.06935486668827301
47.54225638905283,1.0,rules,0.6979669933108901,5,8,0.335,capacity,1.0,0.17895518624939089,0.3169331892841253,0.826214670269648,True,0.04840740777389152,0.06935486668827301
47.54225638905283,1.0,gbdt,0.739217247320878,5,12,0.335,capacity,1.0,0.17895518624939089,0.3169331892841253,0.826214670269648,True,0.04840740777389152,0.06935486668827301
47.54225638905283,1.0,hmm,0.7463744010847816,5,12,0.335,capacity,1.0,0.17895518624939089,0.3169331892841253,0.826214670269648,True,0.04840740777389152,0.06935486668827301
70.88348292219196,1.4909574830048185,random,0.6839389350997913,5,9,0.335,capacity,1.0,0.2452547745477008,0.5140515203718887,0.8763653636228824,True,0.05024962405121791,0.06531730400163811
70.88348292219196,1.4909574830048185,rules,0.769315647963022,5,7,0.335,capacity,1.0,0.2452547745477008,0.5140515203718887,0.8763653636228824,True,0.05024962405121791,0.06531730400163811
70.88348292219196,1.4909574830048185,gbdt,0.7831532130493698,5,11,0.335,capacity,1.0,0.2452547745477008,0.5140515203718887,0.8763653636228824,True,0.05024962405121791,0.06531730400163811
70.88348292219196,1.4909574830048185,hmm,0.8195652720142399,5,12,0.335,capacity,1.0,0.2452547745477008,0.5140515203718887,0.8763653636228824,True,0.05024962405121791,0.06531730400163811
138.63715693362408,2.9160828169179394,random,0.6648000569919462,5,5,0.335,capacity,1.0,0.3885556952086978,0.6069479444693452,0.9,True,0.0750471523368843,0.0963364530748578
138.63715693362408,2.9160828169179394,rules,0.7790109552670499,5,5,0.335,capacity,1.0,0.3885556952086978,0.6069479444693452,0.9,True,0.0750471523368843,0.0963364530748578
138.63715693362408,2.9160828169179394,gbdt,0.805348470437988,5,10,0.335,capacity,1.0,0.3885556952086978,0.6069479444693452,0.9,True,0.0750471523368843,0.0963364530748578
138.63715693362408,2.9160828169179394,hmm,0.8540581076039342,5,12,0.335,capacity,1.0,0.3885556952086978,0.6069479444693452,0.9,True,0.0750471523368843,0.0963364530748578
271.1528904940547,5.703408106572133,random,0.6400068532140569,5,4,0.335,capacity,1.0,0.554109318599284,0.6069479444693452,0.9,True,0.15276390467774992,0.2178314094717097
271.1528904940547,5.703408106572133,rules,0.7012942029261843,5,3,0.335,capacity,1.0,0.554109318599284,0.6069479444693452,0.9,True,0.15276390467774992,0.2178314094717097
271.1528904940547,5.703408106572133,gbdt,0.7826112894937798,5,9,0.335,capacity,1.0,0.554109318599284,0.6069479444693452,0.9,True,0.15276390467774992,0.2178314094717097
271.1528904940547,5.703408106572133,hmm,0.8540581076039342,5,12,0.335,capacity,1.0,0.554109318599284,0.6069479444693452,0.9,True,0.15276390467774992,0.2178314094717097
530.33322126248,11.154986354088898,random,0.6400068532140569,5,4,0.335,capacity,1.0,0.7084718315349006,0.6069479444693452,0.9,True,0.28610706286713294,0.5037530356154554
530.33322126248,11.154986354088898,rules,0.5679510447368012,5,0,0.335,capacity,1.0,0.7084718315349006,0.6069479444693452,0.9,True,0.28610706286713294,0.5037530356154554
530.33322126248,11.154986354088898,gbdt,0.7826112894937798,5,9,0.335,capacity,1.0,0.7084718315349006,0.6069479444693452,0.9,True,0.28610706286713294,0.5037530356154554
530.33322126248,11.154986354088898,hmm,0.8540581076039342,5,12,0.335,capacity,1.0,0.7084718315349006,0.6069479444693452,0.9,True,0.28610706286713294,0.5037530356154554
